Nazwisko	Imie	Data_urodz	Miejsce_zamieszkania	miesi¹c urodzenia	miesiac				
Czarnecka	Ewelina	1960.10.01	srednie miasto	10	paŸdziernik				
Nesterowicz	Piotr	1984.09.27	wies	9	wrzesieñ				
Adamus	Magdalena	1967.10.08	duze miasto	10	paŸdziernik				
Kowalski	Hubert	1986.05.12	wies	5	maj			Etykiety wierszy	Liczba z Nazwisko
Zamojska	Maria	1962.05.14	wies	5	maj			czerwiec	31
Matecki	Adam	1986.10.09	duze miasto	10	paŸdziernik			grudzieñ	29
Potocki	Anna	1991.11.27	srednie miasto	11	listopad			kwiecieñ	27
Przybylska	Laura	1983.02.25	srednie miasto	2	luty			lipiec	33
Monachijski	Piotr	1991.11.26	srednie miasto	11	listopad			listopad	28
Cender	Urszula	1985.03.05	srednie miasto	3	marzec			luty	22
Badowski	Bogdan	1947.06.29	srednie miasto	6	czerwiec			maj	25
Mazurowski	Janusz	1991.03.24	duze miasto	3	marzec			marzec	30
Lasota	Piotr	1971.06.09	duze miasto	6	czerwiec			paŸdziernik	32
Olczak	Damian	1946.12.08	duze miasto	12	grudzieñ			sierpieñ	19
Kolesinski	Konstanty	1971.03.27	duze miasto	3	marzec			styczeñ	26
Pakulski	Bogdan	1982.08.30	srednie miasto	8	sierpieñ			wrzesieñ	29
Banasiak	Paulina	1981.03.23	wies	3	marzec			Suma koñcowa	331
Bajdek	Katarzyna	1995.09.03	male miasto	9	wrzesieñ				
Chojnacka	Monika	1963.10.25	wies	10	paŸdziernik				
Karpowicz	Anna	1945.03.02	srednie miasto	3	marzec				
Korcela	Marta	1954.05.28	duze miasto	5	maj				
Deska	Ewa	1971.03.26	srednie miasto	3	marzec				
Krencik	Maciej	1968.09.29	male miasto	9	wrzesieñ				
Nawrot	Janusz	1991.06.22	wies	6	czerwiec				
Legnicka	Karolina	1984.10.14	duze miasto	10	paŸdziernik				
Wenecka	Justyna	1953.01.09	duze miasto	1	styczeñ				
Kaleta	Natalia	1964.10.18	male miasto	10	paŸdziernik				
Samarskyi	Kostiantyn	1954.05.07	duze miasto	5	maj				
Tkacz	Adam	1948.12.29	wies	12	grudzieñ				
Borsuk	Magdalena	1968.07.26	duze miasto	7	lipiec				
Anusz	Anna	1950.04.14	duze miasto	4	kwiecieñ				
Trzebnicka	Anna	1959.03.21	srednie miasto	3	marzec				
Bardzio	Celina	1944.01.04	male miasto	1	styczeñ				
Firlej	Anna	1983.11.20	srednie miasto	11	listopad				
Sadcza	Romuald	1959.03.24	duze miasto	3	marzec				
Uniejewski	Tobiasz	1962.07.16	srednie miasto	7	lipiec				
Iwaszko	Katarzyna	1962.10.25	duze miasto	10	paŸdziernik				
Rutkowski	Sebastian	1979.01.01	srednie miasto	1	styczeñ				
Kubiak	Aleksandra	1975.04.26	wies	4	kwiecieñ				
Krakowska	Karolina	1967.09.29	duze miasto	9	wrzesieñ				
Uss	Adrian	1973.02.08	male miasto	2	luty				
Zasada	Joanna	1951.08.07	srednie miasto	8	sierpieñ				
Majka	Danuta	1992.10.22	duze miasto	10	paŸdziernik				
Kaczmar	Monika	1995.03.15	duze miasto	3	marzec				
Adamczyk	Irena	1979.03.15	srednie miasto	3	marzec				
Jasiak	Monika	1948.03.20	male miasto	3	marzec				
Sosnowski	Arkadiusz	1971.03.10	duze miasto	3	marzec				
Bydgoska	Karolina	1946.09.05	duze miasto	9	wrzesieñ				
Szulgo	Marek	1948.08.12	srednie miasto	8	sierpieñ				
Szczygielski	Tadeusz	1982.07.23	srednie miasto	7	lipiec				
Magierowicz	Patryk	1962.04.22	male miasto	4	kwiecieñ				
Biegaj	Karolina	1948.10.24	srednie miasto	10	paŸdziernik				
Boss	Anna	1944.04.06	srednie miasto	4	kwiecieñ				
Rusu	Siergiu	1987.12.07	srednie miasto	12	grudzieñ				
Lipski	Adam	1955.08.31	duze miasto	8	sierpieñ				
Milcarz	Maciej	1953.01.16	srednie miasto	1	styczeñ				
Czarnoleska	Patrycja	1995.04.29	duze miasto	4	kwiecieñ				
Rejkowicz	Maria	1965.02.02	wies	2	luty				
Rybicka	Martyna	1980.05.30	duze miasto	5	maj				
Gajak	Agnieszka	1974.12.07	duze miasto	12	grudzieñ				
